G-number,G-number Full,Value
0001.00,000100,u
0001.01,000101,u
0002.00,000200,u
0003.00,000300,u
0003.01,000301,u
0004.00,000400,na
0005.00,000500,UND
0006.00,000600,u
0007.00,000700,u
0008.00,000800,u
0009.00,000900,UND
0010.00,001000,u
0011.00,001100,u
0012.00,001200,ah
0012.01,001201,ah
0013.00,001300,u
0013.01,001301,u
0013.02,001302,u
0014.00,001400,k'ul
0015.00,001500,a
0015.01,001501,a
0016.00,001600,yax
0016.01,001601,yax
0016.02,001602,yax
0017.00,001700,yi
0017.01,001701,yi
0017.02,001702,yi
0018.00,001800,hi
0019.00,001900,mu
0019.01,001901,mu
0020.00,002000,UND
0021.00,002100,bu
0021.01,002101,bu
0022.00,002200,UND
0023.00,002300,na
0024.00,002400,li'
0025.00,002500,ka
0025.01,002501,ka
0026.00,002600,katun
0027.00,002700,ka
0028.00,002800,UND
0028.01,002801,UND
0029.00,002900,UND
0030.00,003000,UND
0031.00,003100,UND
0032.00,003200,hu
0032.01,003201,hu
0033.00,003300,hu
0034.00,003400,hu
0035.00,003500,k'ul
0035.00,003500,k'u
0035.01,003501,k'ul
0035.01,003501,k'u
0035.02,003502,UND
0036.00,003600,k'ul
0036.01,003601,k'ul
0037.00,003700,k'ul
0038.00,003800,k'ul
0039.00,003900,k'ul
0040.00,004000,k'ul
0041.00,004100,k'ul
0041.01,004101,k'ul
0041.02,004102,k'ul
0042.00,004200,UND
0042.01,004201,UND
0042.02,004202,UND
0043.00,004300,mol
0044.00,004400,to
0044.01,004401,to
0044.02,004402,to
0045.00,004500,hu
0045.01,004501,hu
0046.00,004600,hu
0047.00,004700,ya
0048.00,004800,na
0049.00,004900,to
0050.00,005000,UND
0051.00,005100,ta
0052.00,005200,UND
0053.00,005300,ta
0053.01,005301,ta
0054.00,005400,ta
0055.00,005500,ic-il
0056.00,005600,le
0056.01,005601,UND
0057.00,005700,si
0057.01,005701,si
0057.02,005702,si-i
0057.02,005702,si
0058.00,005800,sak
0058.01,005801,sak
0059.00,005900,ti
0059.00,005900,ta
0059.00,005900,te
0059.01,005901,ti
0059.01,005901,ta
0059.01,005901,te
0060.00,006000,nu
0060.01,006001,hun
0060.02,006002,hi
0061.00,006100,yu
0062.00,006200,yu
0063.00,006300,UND
0064.00,006400,UND
0064.01,006401,UND
0065.00,006500,UND
0066.00,006600,UND
0067.00,006700,wo
0067.01,006701,wo
0067.02,006702,wo
0068.00,006800,z'a
0068.01,006801,z'a
0069.00,006900,he
0070.00,007000,UND
0071.00,007100,ma
0072.00,007200,c'a
0073.00,007300,c'a
0074.00,007400,ma
0074.01,007401,ma
0075.00,007500,UND
0076.00,007600,c'a
0077.00,007700,c'a
0078.00,007800,te
0078.01,007801,te
0078.02,007802,te
0079.00,007900,pat
0080.00,008000,pat
0080.01,008001,pat
0081.00,008100,te
0082.00,008200,li
0082.01,008201,li
0083.00,008300,li
0084.00,008400,nal
0084.01,008401,nal
